Destination_ID,Destination_Name,State,City,Category,Description,Best_Season,Avoid_Season,Ideal_Duration_Days,Budget_Category,Budget_Per_Person_INR,Hotel_Cost_Per_Night_INR,Food_Cost_Per_Day_INR,Local_Transport_Cost_INR,Family_Friendly,Couple_Friendly,Solo_Friendly,Friends_Friendly,Kids_Friendly,Senior_Citizen_Friendly,Adventure_Level,Nature_Score,Historical_Score,Religious_Score,Shopping_Score,Nightlife_Score,Safety_Score,Cleanliness_Score,Accessibility,Average_Temperature_C,Rainfall_Level,Altitude_Meters,UNESCO_Heritage,Nearest_Airport,Nearest_Railway,Latitude,Longitude,Rating,Number_of_Reviews,Popular_Activities,Nearby_Attractions,Recommended_Months,Languages_Spoken,Famous_For,Suitable_For,Parking_Available,Pet_Friendly,Wheelchair_Accessible,Eco_Tourism,Image_URL
1,Ooty,Tamil Nadu,Ooty,National Park,Popular tourist destination,Winter,Summer,5,Luxury,250,3000,500.0,616,no,yes,Y,YES,NO,NO,3,7,10,9,4.0,,1,1,NA,7,Medium,2008,N,Airport,Railway Station,11.392258,88.95292,3.6,47621,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Other,yes,yes,Yes,NO,https://example.com/image.jpg
2,Varanasi Ghats,Uttar Pradesh,Varanasi,Waterfall,Popular tourist destination,Winter,Summer,5,Unknown,5000,3000,500.0,385,No,No,Yes,no,no,YES,2,6,8,5,4.0,,1,7,Difficult,10,High,560,yes,,Railway Station,10.607699,91.274077,4.0,7138,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Luxury Travelers,Y,Y,Yes,NO,https://example.com/image.jpg
3,Ooty,Tamil Nadu,Ooty,Waterfall,Popular tourist destination,Winter,Summer,5 Days,Luxury,5000,30000,1000.0,1063,yes,yes,yes,N,Yes,No,6,10,6,2,4.0,2.0,6,7,Easy,15,Medium,1939,NO,Airport,Railway Station,29.85905,89.82186,3.9,11065,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Senior Citizens,No,Y,N,No,https://example.com/image.jpg
4,Manali,Himachal Pradesh,Manali,Fort,Popular tourist destination,Winter,Summer,Five Days,Unknown,5000,3000,,1153,Y,Yes,YES,Y,N,Yes,1,3,3,2,5.0,,8,5,NA,14,Medium,379,YES,Airport,Railway Station,26.307404,75.243198,4.1,15730,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Friends,yes,No,YES,YES,https://example.com/image.jpg
5,Varanasi Ghats,Uttar Pradesh,Varanasi,Palace,Popular tourist destination,Winter,Summer,5,High,999999,3000,500.0,475,no,Y,Y,YES,no,No,6,5,9,3,,,1,3,Moderate,32,Medium,2079,YES,,Railway Station,26.771093,75.549207,2.7,25838,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Family,No,Yes,No,N,https://example.com/image.jpg
6,Munnar,Kerala,Munnar,Religious,Popular tourist destination,Winter,Summer,5,Low,5000,1500,200.0,520,Yes,NO,Y,YES,NO,Y,2,9,8,7,,10.0,7,6,NA,11,High,566,yes,Airport,Railway Station,9.430634,86.300327,3.7,48511,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Senior Citizens,Yes,Yes,N,Yes,https://example.com/image.jpg
7,Manali,Himachal Pradesh,Manali,Pilgrimage,Popular tourist destination,Winter,Summer,5 Days,Low,250,30000,1000.0,1887,YES,no,yes,yes,NO,yes,2,6,8,10,8.0,,6,6,Easy,5,Medium,1264,YES,Airport,Railway Station,,79.033532,3.3,37552,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Solo,Yes,N,NO,no,https://example.com/image.jpg
8,Amritsar,Punjab,Amritsar,Wildlife,Popular tourist destination,Winter,Summer,Five Days,Low,12000,30000,,1450,No,NO,No,no,NO,no,6,7,2,5,1.0,,8,10,Difficult,19,Medium,1723,Yes,Airport,Railway Station,29.841085,69.040573,3.1,47524,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Couple,yes,N,NO,N,https://example.com/image.jpg
9,Amritsar,Punjab,Amritsar,Nature,Popular tourist destination,Winter,Summer,5,Unknown,250,30000,500.0,1148,No,YES,NO,Y,Y,No,6,5,8,10,10.0,7.0,1,4,NA,12,Medium,1596,N,Airport,Railway Station,27.212991,89.131791,3.1,41033,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Couple,yes,N,No,Yes,https://example.com/image.jpg
10,Munnar,Kerala,Munnar,Historical,Popular tourist destination,Winter,Summer,05 Days,Luxury,999999,100,200.0,748,NO,Yes,no,Yes,yes,N,1,6,10,1,8.0,,2,5,NA,15,Low,1598,Yes,Airport,Railway Station,24.552892,80.266788,4.0,19603,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Senior Citizens,NO,Y,N,yes,https://example.com/image.jpg
